Date : 4/17/2015 Time    :  12:35 PM  Second : 10     milisecond  :  22====>>>>>>>  Token1  : 66440, OrderNumber1 : 123532811, BuySell1 : 2, PriceDiff : 0, Price1 : 8205, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4365, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:35 PM  Second : 20     milisecond  :  651====>>>>>>>  Token1  : 66440, OrderNumber1 : 123543443, BuySell1 : 1, PriceDiff : 0, Price1 : 8270, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4370, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:37 PM  Second : 8     milisecond  :  575====>>>>>>>  Token1  : 66440, OrderNumber1 : 123731342, BuySell1 : 2, PriceDiff : 0, Price1 : 8380, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4475, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:38 PM  Second : 2     milisecond  :  918====>>>>>>>  Token1  : 66440, OrderNumber1 : 123825705, BuySell1 : 1, PriceDiff : 0, Price1 : 8420, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4475, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:40 PM  Second : 9     milisecond  :  339====>>>>>>>  Token1  : 66440, OrderNumber1 : 124032121, BuySell1 : 1, PriceDiff : 0, Price1 : 8655, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4600, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:40 PM  Second : 9     milisecond  :  593====>>>>>>>  Token1  : 66440, OrderNumber1 : 124032240, BuySell1 : 2, PriceDiff : 0, Price1 : 8625, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4605, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:40 PM  Second : 10     milisecond  :  731====>>>>>>>  Token1  : 66440, OrderNumber1 : 124033541, BuySell1 : 1, PriceDiff : 0, Price1 : 4610, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 2190, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:40 PM  Second : 54     milisecond  :  529====>>>>>>>  Token1  : 66440, OrderNumber1 : 124117311, BuySell1 : 2, PriceDiff : 0, Price1 : 8680, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4595, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:42 PM  Second : 20     milisecond  :  63====>>>>>>>  Token1  : 66454, OrderNumber1 : 124242830, BuySell1 : 1, PriceDiff : 0, Price1 : 960, Volume1 : 25, TriggerPrice1 : 0, TotalVolRemaining1 : 25, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 360, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:42 PM  Second : 20     milisecond  :  234====>>>>>>>  Token1  : 66454, OrderNumber1 : 124242928, BuySell1 : 2, PriceDiff : 0, Price1 : 950, Volume1 : 25, TriggerPrice1 : 0, TotalVolRemaining1 : 25, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 365, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:42 PM  Second : 21     milisecond  :  956====>>>>>>>  Token1  : 66440, OrderNumber1 : 124244764, BuySell1 : 2, PriceDiff : 0, Price1 : 8795, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4685, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:42 PM  Second : 23     milisecond  :  957====>>>>>>>  Token1  : 66440, OrderNumber1 : 124246716, BuySell1 : 1, PriceDiff : 0, Price1 : 8820, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4680, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:42 PM  Second : 45     milisecond  :  858====>>>>>>>  Token1  : 66454, OrderNumber1 : 124308660, BuySell1 : 1, PriceDiff : 0, Price1 : 960, Volume1 : 25, TriggerPrice1 : 0, TotalVolRemaining1 : 25, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 360, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:42 PM  Second : 46     milisecond  :  9====>>>>>>>  Token1  : 66454, OrderNumber1 : 124308773, BuySell1 : 2, PriceDiff : 0, Price1 : 955, Volume1 : 25, TriggerPrice1 : 0, TotalVolRemaining1 : 25, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 365, TriggerPrice2 : 0, TotalVolRemaining2 : 75
